gameId,playId,nflId,tackle,assist,forcedFumble,pff_missedTackle,game_play_Id,event_type,s_avg_05,s_avg_1,bc_s_avg_05,bc_s_avg_1,cos_avg_05,cos_avg_1,do_avg_05,do_avg_1,bc_do_avg_05,bc_do_avg_1,cos_05_null,cos_1_null,ballCarrierId,tackle_status
2022102300,77,33131,0,0,0,1,2022102300_77,2.0,5.416,5.802,4.448,5.052,0.9197857684622726,0.7246198650184466,0.7466888888888888,0.8590666666666665,0.835911111111111,0.8652444444444443,0,0,46104,0
2022102300,265,33131,0,0,0,1,2022102300_265,2.0,2.592,1.672,4.548,4.134,-0.4322220220438795,-0.9203476915161672,0.1447555555555554,0.2034888888888889,0.9127333333333332,0.8138666666666667,0,0,46104,0
2022091107,1803,33131,1,0,0,0,2022091107_1803,1.0,4.404,4.668,4.8020000000000005,6.874,0.9920328352972744,0.9066982666873744,0.5125777777777778,0.3062444444444441,0.5338666666666666,0.8572,0,0,54501,1
2022092505,654,33131,1,0,0,0,2022092505_654,1.0,4.836,5.946,5.428,6.21,0.7765190479718893,0.7264854430229493,0.4301555555555555,0.8753333333333334,0.5538000000000001,0.8894666666666666,0,0,53549,1
2022102300,1020,33131,1,0,0,0,2022102300_1020,1.0,1.576,1.97,2.582,4.997999999999999,0.6302983884039997,0.158321955085441,0.3041111111111111,0.0555333333333333,0.6376222222222221,0.7791111111111111,0,0,46104,1
2022100202,3832,33131,0,0,0,1,2022100202_3832,2.0,5.0440000000000005,6.696000000000001,4.008,5.358,0.315206909727118,0.4710018825027982,0.3682222222222223,0.5813111111111112,0.7440222222222221,0.7946444444444445,0,0,47857,0
2022101607,3652,35449,1,0,0,0,2022101607_3652,1.0,0.7260000000000001,0.556,0.472,0.63,0.694710859272395,-0.0725891600193025,0.3282666666666667,0.0881777777777776,-0.8070888888888887,-0.5177555555555555,0,0,25511,1
2022092200,4064,35449,1,0,0,0,2022092200_4064,1.0,0.498,1.73,2.3080000000000003,3.34,0.5706467326611587,0.9404415681620129,0.0189777777777777,-0.0334888888888888,0.4040888888888889,0.6767333333333332,0,0,46104,1
2022092200,2785,35449,1,0,0,0,2022092200_2785,1.0,2.26,2.446,0.38,0.574,0.9798648437799092,0.9248202800949404,-0.8284666666666667,-0.6941999999999999,-0.1470666666666667,0.1678666666666665,0,0,43380,1
2022110300,2164,35452,1,0,0,0,2022110300_2164,1.0,1.054,1.984,2.888,4.828,-0.909472964986788,-0.9633440608105218,0.2480444444444443,0.4349777777777776,0.2542222222222222,0.8931333333333333,0,0,54572,1
